ID,Squares,No_of_rooms,Address,Price,One_Sq
3571,107,3.0,Beograd Opština Savski venac,157000,2723.3487453316557
3572,56,2.0,Beograd Opština Vračar,135000,2275.3672683163954
3573,120,3.0,Beograd Opština Zvezdara,109000,1461.4519261140167
3574,52,3.0,Beograd Opština Zvezdara,90000,1461.4519261140167
3575,51,2.5,Beograd Opština Novi Beograd,96000,1735.3775474934005
3576,36,1.0,Beograd Opština Čukarica,75000,1324.4002797487278
3577,114,4.0,Beograd Opština Zvezdara,206000,1461.4519261140167
3578,65,2.5,Beograd Opština Stari grad,120000,2531.903872181951
3579,80,3.5,Beograd Opština Palilula,78000,1282.912470736089
3580,91,3.5,Beograd Opština Vračar,215000,2275.3672683163954
3581,32,1.5,Beograd Opština Rakovica,32600,991.4218432222813
3583,75,3.0,Beograd Opština Novi Beograd,139000,1735.3775474934005
3584,18,0.5,Beograd Opština Stari grad,59900,2531.903872181951
3585,65,3.0,Beograd Opština Palilula,63000,1282.912470736089
3586,71,3.0,Beograd Opština Palilula,76000,1282.912470736089
3587,35,1.0,Beograd Opština Zvezdara,26000,1461.4519261140167
3588,67,2.5,Beograd Opština Stari grad,200000,2531.903872181951
3589,96,3.5,Beograd Opština Voždovac,96000,1490.3747385405104
3591,87,3.0,Beograd Opština Novi Beograd,120000,1735.3775474934005
3592,81,3.0,Beograd Opština Stari grad,228000,2531.903872181951
3593,61,2.5,Beograd Opština Vračar,105000,2275.3672683163954
3594,48,3.0,Beograd Opština Rakovica,49900,991.4218432222813
3595,48,2.5,Beograd Opština Vračar,117000,2275.3672683163954
3596,124,4.0,Beograd Opština Voždovac,142600,1490.3747385405104
3597,82,3.0,Beograd Opština Novi Beograd,100000,1735.3775474934005
3598,74,2.5,Beograd Opština Vračar,207200,2275.3672683163954
3599,61,3.0,Beograd Opština Zvezdara,60540,1461.4519261140167
3600,63,2.0,Beograd Opština Zvezdara,58000,1461.4519261140167
3601,46,3.0,Beograd Opština Vračar,90000,2275.3672683163954
3602,58,3.0,Beograd Opština Stari grad,185000,2531.903872181951
3603,75,3.5,Beograd Opština Rakovica,63000,991.4218432222813
3604,50,2.0,Beograd Opština Zvezdara,62500,1461.4519261140167
3605,55,2.5,Beograd Opština Čukarica,69000,1324.4002797487278
3606,114,4.0,Beograd Opština Zvezdara,188100,1461.4519261140167
3607,74,3.0,Beograd Opština Zvezdara,125000,1461.4519261140167
3608,92,3.0,Beograd Opština Zvezdara,151800,1461.4519261140167
3609,53,3.0,Beograd Opština Čukarica,80000,1324.4002797487278
3610,69,3.0,Beograd Opština Zvezdara,112200,1461.4519261140167
3611,92,4.0,Beograd Opština Zvezdara,201564,1461.4519261140167
3612,88,3.0,Beograd Opština Zvezdara,194128,1461.4519261140167
